,From Date,PM10,NO,NO2,WS,CO,Benzene,NOx,Ozone,SO2,NH3,Toluene,PM2.5,Date,year,month,day,hour,minute
121,10-02-2019 08:00,213.0,161.44,123.21,1.23,1.33,5.38,197.11,33.48,20.17,38.67,37.93,109.97,2019-10-02 08:00:00,2019,10,2,8,0
122,10-02-2019 16:00,213.0,257.19,147.33,0.47,2.21,7.55,286.88,17.36,17.88,37.92,43.47,126.62,2019-10-02 16:00:00,2019,10,2,16,0
123,11-02-2019 00:00,213.0,312.93,105.4,0.31,2.08,10.76,337.98,15.1,11.35,52.28,57.9,191.97,2019-11-02 00:00:00,2019,11,2,0,0
124,11-02-2019 08:00,213.0,112.62,137.55,0.47,1.26,8.41,165.27,49.3,23.63,50.47,47.35,136.59,2019-11-02 08:00:00,2019,11,2,8,0
125,11-02-2019 16:00,213.0,265.44,167.05,0.35,1.99,10.46,304.78,17.37,23.53,42.82,58.87,149.88,2019-11-02 16:00:00,2019,11,2,16,0
126,12-02-2019 00:00,213.0,275.15,107.91,0.3,1.99,12.69,288.64,11.82,19.74,63.72,64.61,247.38,2019-12-02 00:00:00,2019,12,2,0,0
127,12-02-2019 08:00,213.0,86.34,125.08,0.62,2.1,7.94,136.85,68.64,46.73,60.31,48.61,172.12,2019-12-02 08:00:00,2019,12,2,8,0
128,12-02-2019 16:00,213.0,187.85,169.84,0.3,2.77,12.73,242.94,16.59,29.98,52.95,70.58,257.16,2019-12-02 16:00:00,2019,12,2,16,0
129,13-02-2019 00:00,213.0,198.49,92.14,0.3,2.8,9.58,216.81,25.63,16.18,57.12,47.93,251.31,2019-02-13 00:00:00,2019,2,13,0,0
130,13-02-2019 08:00,213.0,64.16,133.22,0.76,1.96,9.95,123.04,78.62,35.6,70.56,55.78,222.62,2019-02-13 08:00:00,2019,2,13,8,0
131,13-02-2019 16:00,213.0,154.21,146.62,0.6,2.81,10.62,203.7,19.39,19.66,55.66,63.21,192.44,2019-02-13 16:00:00,2019,2,13,16,0
132,14-02-2019 00:00,213.0,112.93,100.62,0.52,2.01,9.66,145.67,20.82,9.43,66.38,65.84,214.97,2019-02-14 00:00:00,2019,2,14,0,0
133,14-02-2019 08:00,213.0,37.47,72.42,3.37,1.83,7.26,69.06,30.02,17.73,60.8,57.61,180.66,2019-02-14 08:00:00,2019,2,14,8,0
134,14-02-2019 16:00,213.0,18.05,69.2,2.29,1.18,5.13,51.55,19.43,8.5,42.6,35.47,113.31,2019-02-14 16:00:00,2019,2,14,16,0
135,15-02-2019 00:00,213.0,114.09,67.76,0.33,1.29,4.84,129.08,26.48,12.28,34.86,53.86,102.97,2019-02-15 00:00:00,2019,2,15,0,0
136,15-02-2019 08:00,182.12,96.27,92.02,0.64,1.35,6.68,127.45,59.06,58.03,40.75,49.73,134.91,2019-02-15 08:00:00,2019,2,15,8,0
137,15-02-2019 16:00,279.72,111.93,74.46,1.48,1.56,7.27,130.91,10.88,11.34,44.57,45.46,155.22,2019-02-15 16:00:00,2019,2,15,16,0
138,16-02-2019 00:00,197.75,82.61,53.66,1.01,1.47,5.22,96.05,10.41,5.85,35.81,31.77,134.06,2019-02-16 00:00:00,2019,2,16,0,0
139,16-02-2019 08:00,255,127.31,67.41,1.01,1.48,6.27,139.52,11.64,9.86,33.4,35.76,138.34,2019-02-16 08:00:00,2019,2,16,8,0
140,16-02-2019 16:00,267.56,178.79,89.35,0.59,1.59,6.96,193.16,8.77,10.92,33,40.91,122.22,2019-02-16 16:00:00,2019,2,16,16,0
141,17-02-2019 00:00,227.88,115.01,70.15,0.46,1.11,6.38,131.18,6.48,5.23,34.51,33.65,121.59,2019-02-17 00:00:00,2019,2,17,0,0
142,17-02-2019 08:00,232.88,125.88,90.42,1.59,1.98,4.92,150.7,22.07,10.89,30.16,30.48,102,2019-02-17 08:00:00,2019,2,17,8,0
143,17-02-2019 16:00,357.31,235.87,120.1,0.5,2.25,7.56,256.24,13.4,12,34.44,41.84,125.34,2019-02-17 16:00:00,2019,2,17,16,0
144,18-02-2019 00:00,305.28,116.23,86.47,0.3,1.47,6.57,139.59,13.18,12.62,37.17,47.17,145.19,2019-02-18 00:00:00,2019,2,18,0,0
145,18-02-2019 08:00,247.28,63.76,94.02,1.84,1.32,10.07,102.08,37.52,23.59,35.97,37.2,101.94,2019-02-18 08:00:00,2019,2,18,8,0
146,18-02-2019 16:00,191.84,24.83,84.97,1.77,2.69,4.08,65.43,17.01,10.68,35.43,35.12,82.94,2019-02-18 16:00:00,2019,2,18,16,0
147,19-02-2019 00:00,185.06,87.64,65.89,0.42,3.28,3.86,106.57,9.39,8.83,40.18,63.89,102.94,2019-02-19 00:00:00,2019,2,19,0,0
148,19-02-2019 08:00,227.38,38.44,91.45,1,2.17,3.96,79.96,31,14.38,48.68,31.19,116.16,2019-02-19 08:00:00,2019,2,19,8,0
149,19-02-2019 16:00,489.62,178.34,143.58,0.37,3.35,6.96,221.78,44.32,37.43,49.46,57.17,197.66,2019-02-19 16:00:00,2019,2,19,16,0
150,20-02-2019 00:00,326.62,63.43,83.18,0.52,1.63,6,95.95,44.3,22.26,51.55,66.53,182.97,2019-02-20 00:00:00,2019,2,20,0,0
151,20-02-2019 08:00,140.22,52.08,79.62,1.7,1.09,3.11,84.83,26.76,44.41,40.85,59.4,72.16,2019-02-20 08:00:00,2019,2,20,8,0
152,20-02-2019 16:00,146.22,42.08,76.1,1.26,1.44,3.59,74.77,9.36,16.25,33.54,54.8,51.38,2019-02-20 16:00:00,2019,2,20,16,0
153,21-02-2019 00:00,199.94,94.34,67.13,0.53,0.86,3.88,112.64,30.43,26.85,32.21,42.83,81.78,2019-02-21 00:00:00,2019,2,21,0,0
154,21-02-2019 08:00,185.09,19.57,62.62,2.69,1.92,2.98,49.26,27.75,27.01,32.17,29.58,59.91,2019-02-21 08:00:00,2019,2,21,8,0
155,21-02-2019 16:00,371.09,167.13,101.99,0.6,3.29,5.88,191.13,16.36,20.7,36.69,66.88,102.72,2019-02-21 16:00:00,2019,2,21,16,0
156,22-02-2019 00:00,432.09,147.82,71.91,0.78,1.9,9.36,158.73,20.16,5.34,54.65,56.84,153.32,2019-02-22 00:00:00,2019,2,22,0,0
157,22-02-2019 08:00,218.77,57.62,72.17,2.28,0.99,2.26,79.58,16.65,10.57,43.3,31.58,69.55,2019-02-22 08:00:00,2019,2,22,8,0
158,22-02-2019 16:00,155.59,45.52,69.54,1.92,2.17,3.06,72.34,17.37,8.76,31.42,32.89,50.88,2019-02-22 16:00:00,2019,2,22,16,0
159,23-02-2019 00:00,112.28,32.69,59.75,1.69,1.9,2.75,56.75,20.02,8.86,24.88,25.5,50.88,2019-02-23 00:00:00,2019,2,23,0,0
